Charge (C),Temperature (K)
-0.00373285158,1669.999724744093
-0.00374260566,1669.963804266284
-0.003740306484,1669.9664314653323
-0.003721390536,1669.980959931072
-0.0036886969499999,1669.9807103780015
-0.003643950108,1670.02764619132
-0.003569975862,1670.0581803260866
-0.003482781354,1670.077917805084
-0.0033755387279999,1670.0895242638137
-0.003284912874,1670.1813489170745
-0.003136929546,1670.1812418067202
-0.0030027238559999,1670.113326668749
-0.002821489566,1670.0802894728797
-0.0026408126519999,1670.0775859414512
-0.00244121979,1670.10607784573
-0.0022284240839999,1670.0936984860073
-0.00199671243,1670.094867271282
-0.001750665762,1669.8533512595754
-0.001485685728,1669.8352212298705
-0.0012201309,1669.81184213474
-0.0009430976099999,1669.9971662311775
-0.00064542399,1669.9519517491613
-0.0003621028019999,1669.9031465443818
-6.6153564e-05,1669.8469310333376
0.000235543614,1669.7604158139588
0.000530343264,1669.594134089241
0.000829166472,1669.8080945526544
0.0011107806959999,1669.865267977763
0.0013895209499999,1669.8037924125574
0.00165392619,1669.98233792069
0.001923487158,1669.9973251999322
0.00218273667,1669.7447535859078
0.002431657308,1669.7007770216635
0.0026725482479999,1669.4859139579803
0.00289852938,1669.3400148006658
0.0031130320499999,1669.2601280245665
0.003319505022,1669.5156057710192
0.003505337664,1669.171579243538
0.003684290196,1668.8349161408291
0.003847740708,1668.8292773018045
0.004002604146,1668.8266143209717
0.004149437886,1668.8927608622698
0.00427045815,1668.7962852769842
0.00439090362,1668.6534138267443
0.0044947149,1668.689321074727
0.0045933530339999,1668.6404332371362
0.0046713682559999,1668.671054377056
0.004737312804,1668.543984580147
0.004792945896,1668.6432846902644
0.0048313874219999,1668.639274588165
0.0048652131779999,1668.579813726702
0.004875542052,1668.5657142175778
0.00488069778,1668.4359254614124
0.0048612070379999,1668.4238694667451
0.00483366918,1668.4704195028871
0.004778036088,1668.481033812864
0.004719546444,1668.4406569841158
0.004641531222,1668.439939646094
0.0045503479919999,1668.4895106512886
0.004426453758,1668.4641158853733
0.004247501226,1668.4650262429873
0.004132228902,1668.6109023771323
0.003965329626,1668.663960119789
0.003780646572,1668.691623215208
0.003586209438,1668.726738316926
0.0033751381139999,1668.8231663931697
0.0031508813639999,1668.8665474041422
0.00290941563,1668.970859213066
0.002647309566,1668.9699677600174
0.002381179944,1669.0050222217997
0.00209956572,1669.1194484422404
0.0018122209739999,1669.5274833006642
0.001518570912,1669.6064665672611
0.0012231964679999,1669.578051078436
0.000923798466,1669.2994772631632
0.000627849228,1669.120706166963
0.00032902602,1669.0831146108535
3.823251e-05,1669.0017655054326
-0.000243364296,1669.207721378988
-0.000515816652,1669.702635610255
-0.0007790723039999,1670.0877585924954
-0.001036597434,1670.0743040106586
-0.00128379369,1670.263379310838
-0.001522385454,1670.4237978715869
-0.001750665762,1670.4714473816907
-0.0019640188439999,1670.9394093644169
-0.002168784852,1670.836242846981
-0.002355767082,1669.4503331876144
-0.00247849431,1669.208256276744
-0.0027010440959999,1669.162687039866
-0.002858189292,1669.163542095559
-0.003005023032,1669.236700557773
-0.003132348612,1669.218493896551
-0.0032550932579999,1669.449278788819
-0.00335087484,1669.5141736307178
-0.003447231216,1669.641684490768
-0.00352522902,1669.5397031049647
-0.0035808621119999,1669.694600392398
-0.003649698048,1669.932541494235
-0.003696726648,1669.9881741344302
