# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.301000,-0.011108,0.172798,-3.810241
0.302000,-0.012589,0.158474,-4.290429
0.303000,-0.013907,0.143096,-4.765027
0.304000,-0.015158,0.127554,-5.229101
0.305000,-0.016508,0.110991,-5.687585
0.306000,-0.017628,0.094231,-6.126336
0.307000,-0.018714,0.077371,-6.555879
0.308000,-0.020064,0.060051,-6.958453
0.309000,-0.020920,0.042862,-7.340636
0.310000,-0.021809,0.026069,-7.688286
0.311000,-0.022369,0.009308,-8.004361
0.312000,-0.022764,-0.006827,-8.283271
0.313000,-0.023225,-0.023028,-8.519095
0.314000,-0.023588,-0.038603,-8.715780
0.315000,-0.024114,-0.053783,-8.862471
0.316000,-0.023917,-0.068173,-8.973970
0.317000,-0.023950,-0.081871,-9.034160
0.318000,-0.023588,-0.095306,-9.049289
0.319000,-0.023357,-0.107720,-9.020675
0.320000,-0.022699,-0.119838,-8.947986
0.321000,-0.022205,-0.131100,-8.832541
0.322000,-0.021678,-0.141867,-8.682889
0.323000,-0.021217,-0.151548,-8.490480
0.324000,-0.020591,-0.160933,-8.263208
0.325000,-0.020031,-0.169330,-8.007650
0.326000,-0.019011,-0.177035,-7.720189
0.327000,-0.018187,-0.184082,-7.404114
0.328000,-0.017298,-0.190338,-7.061728
0.329000,-0.016673,-0.196167,-6.700924
0.330000,-0.015816,-0.201139,-6.314795
0.331000,-0.015059,-0.205156,-5.919129
0.332000,-0.013841,-0.208614,-5.492877
0.333000,-0.012886,-0.211775,-5.063665
0.334000,-0.011766,-0.213652,-4.614392
0.335000,-0.010746,-0.214706,-4.160515
0.336000,-0.009560,-0.215101,-3.693483
0.337000,-0.008441,-0.214870,-3.219216
0.338000,-0.007255,-0.213388,-2.742648
0.339000,-0.006070,-0.211215,-2.256215
0.340000,-0.004720,-0.208383,-1.772741
0.341000,-0.003238,-0.204102,-1.273153
0.342000,-0.002283,-0.203279,-0.781459
0.343000,0.000220,-0.191326,-0.271677
0.344000,0.000779,-0.185926,0.231855
0.345000,0.002162,-0.177364,0.755121
0.346000,0.003249,-0.167683,1.288582
0.347000,0.004961,-0.157607,1.809215
0.348000,0.006443,-0.146938,2.317350
0.349000,0.007991,-0.135051,2.811343
0.350000,0.009374,-0.122242,3.308295
0.351000,0.010823,-0.107885,3.790776
0.352000,0.012370,-0.094582,4.275231
0.353000,0.013753,-0.079533,4.748832
0.354000,0.015070,-0.063925,5.216841
0.355000,0.016486,-0.047823,5.675642
0.356000,0.017738,-0.030700,6.117341
0.357000,0.018956,-0.013577,6.548845
0.358000,0.019977,0.003414,6.951735
0.359000,0.020833,0.020800,7.334892
0.360000,0.021656,0.037857,7.686475
0.361000,0.022183,0.054881,7.997606
0.362000,0.022710,0.071016,8.259731
0.363000,0.023138,0.086723,8.482719
0.364000,0.023401,0.102002,8.670187
0.365000,0.023566,0.117083,8.827726
0.366000,0.023533,0.131835,8.947113
0.367000,0.023368,0.145862,9.020785
0.368000,0.023434,0.158507,9.042492
0.369000,0.022973,0.171316,9.021772
0.370000,0.022677,0.183105,8.953362
0.371000,0.022315,0.194564,8.844170
0.372000,0.021821,0.205232,8.695183
0.373000,0.021393,0.215308,8.506728
0.374000,0.020537,0.224693,8.285385
0.375000,0.019680,0.233123,8.027206
0.376000,0.018989,0.241059,7.746004
0.377000,0.018100,0.248434,7.426981
0.378000,0.017639,0.254987,7.091513
0.379000,0.016552,0.260552,6.724801
0.380000,0.015663,0.265557,6.346248
0.381000,0.014774,0.269640,5.943687
0.382000,0.013819,0.273328,5.524024
0.383000,0.012765,0.276028,5.093837
0.384000,0.011843,0.277938,4.643258
0.385000,0.010691,0.278794,4.194324
0.386000,0.009538,0.279716,3.720065
0.387000,0.008518,0.279255,3.251726
0.388000,0.007332,0.277774,2.766614
