# Seconds,Charge (C)
0.669,0.002920319298
0.67,0.003137695938
0.671,0.0033378635939999997
0.672,0.003523121442
0.673,0.003699200004
0.674,0.0038660992799999998
0.675,0.004018663542
0.676,0.004155168408
0.677,0.004287074922
0.678,0.0044017898700000006
0.679,0.004506175944
0.68,0.0045979513860000005
0.681,0.004679397954
0.682,0.0047516478180000005
0.683,0.004822208136
0.684,0.004844572847999999
0.685,0.004868087148
0.686,0.004876116846
0.687,0.004870961118
0.688,0.004854901722
0.689,0.00482278293
0.69,0.004771730772
0.691,0.004707493188
0.692,0.004627196208
0.693,0.004551480162
0.694,0.004411543949999999
0.695,0.004232016624
0.696,0.00410986419
0.697,0.0039498450239999995
0.698,0.003763437588
0.699,0.003563844726
0.7,0.00335104902
0.701,0.0031227861299999997
0.702,0.002879596014
0.703,0.0026197891260000003
0.704,0.002351360328
0.705,0.002068021722
0.706,0.001781826564
0.707,0.001484152944
0.708,0.001190502882
0.709,0.000889380498
0.71,0.0005951556419999999
0.711,0.00029405067600000003
0.712,6.1137180000000005e-06
0.713,-0.000269752566
0.714,-0.00054448668
0.715,-0.00080889192
0.716,-0.001064117874
0.717,-0.0013141881
0.718,-0.0015533546579999998
0.719,-0.0017776114079999998
0.72,-0.00198983232
0.721,-0.002189425182
0.722,-0.002379281382
0.723,-0.00255478515
0.724,-0.002721684426
0.725,-0.0028765478639999997
0.726,-0.003018783252
0.727,-0.0031472584199999996
0.728,-0.003256242846
0.729,-0.003365209854
0.73,-0.0034523869439999997
0.731,-0.0035389892399999997
0.732,-0.003606675588
0.733,-0.003666332238
0.734,-0.003703031964
0.735,-0.00373285158
0.736,-0.00374260566
0.737,-0.003740306484
0.738,-0.0037213905360000002
0.739,-0.0036886969499999997
0.74,-0.003643950108
0.741,-0.003569975862
0.742,-0.003482781354
0.743,-0.0033755387279999997
0.744,-0.003284912874
0.745,-0.003136929546
0.746,-0.0030027238559999997
0.747,-0.002821489566
0.748,-0.0026408126519999998
0.749,-0.00244121979
0.75,-0.0022284240839999998
0.751,-0.00199671243
0.752,-0.001750665762
0.753,-0.001485685728
0.754,-0.0012201309
0.755,-0.0009430976099999999
0.756,-0.00064542399
0.757,-0.00036210280199999994
0.758,-6.6153564e-05
0.759,0.000235543614
0.76,0.000530343264
0.761,0.000829166472
0.762,0.0011107806959999998
0.763,0.0013895209499999999
0.764,0.00165392619
0.765,0.001923487158
0.766,0.00218273667
0.767,0.002431657308
0.768,0.0026725482479999997
0.769,0.00289852938
0.77,0.0031130320499999998
0.771,0.003319505022
0.772,0.0035053376640000002
0.773,0.003684290196
0.774,0.003847740708
0.775,0.004002604146
0.776,0.004149437886
0.777,0.00427045815
0.778,0.00439090362
0.779,0.0044947149
0.78,0.0045933530339999995
0.781,0.004671368255999999
0.782,0.004737312804
0.783,0.004792945896000001
0.784,0.0048313874219999995
0.785,0.0048652131779999995
0.786,0.004875542052
0.787,0.00488069778
0.788,0.004861207037999999
0.789,0.00483366918
0.79,0.004778036088
0.791,0.004719546444
0.792,0.004641531222
0.793,0.004550347991999999
0.794,0.004426453758
0.795,0.004247501226
0.796,0.004132228902
0.797,0.003965329626
0.798,0.003780646572
0.799,0.003586209438
0.8,0.0033751381139999997
0.801,0.0031508813639999998
0.802,0.00290941563
0.803,0.002647309566
0.804,0.002381179944
0.805,0.00209956572
0.806,0.0018122209739999998
0.807,0.001518570912
0.808,0.0012231964679999998
0.809,0.000923798466
0.81,0.000627849228
0.811,0.00032902602
0.812,3.823251e-05
0.813,-0.000243364296
0.814,-0.000515816652
0.815,-0.0007790723039999999
0.816,-0.001036597434
0.817,-0.0012837936900000001
0.818,-0.001522385454
0.819,-0.001750665762
0.82,-0.0019640188439999998
0.821,-0.002168784852
0.822,-0.002355767082
0.823,-0.00247849431
0.824,-0.0027010440959999997
0.825,-0.002858189292
0.826,-0.003005023032
0.827,-0.003132348612
0.828,-0.0032550932579999995
0.829,-0.00335087484
0.83,-0.003447231216
0.831,-0.00352522902
0.832,-0.0035808621119999997
0.833,-0.003649698048
0.834,-0.003696726648
0.835,-0.003722540124
0.836,-0.0037351507559999996
0.837,-0.00373572555
0.838,-0.003717941772
0.839,-0.0036950022659999996
0.84,-0.003653129394
0.841,-0.003641093556
0.842,-0.003516624528
0.843,-0.003379544868
0.844,-0.00329409216
0.845,-0.003136929546
0.846,-0.003004448238
0.847,-0.002840405514
0.848,-0.0026585964299999996
0.849,-0.002460153156
0.85,-0.0022404773399999998
0.851,-0.002019651936
0.852,-0.0017810601719999999
0.853,-0.0015286907699999998
0.854,-0.001257980214
0.855,-0.000978665166
0.856,-0.000693602178
0.857,-0.000396503352
0.858,-9.997932000000001e-05
0.859,0.000199976058
0.86,0.000498799266
0.861,0.0007958980919999999
0.862,0.001086116808
0.863,0.0013648570619999999
0.864,0.001635567618
0.865,0.00189882327
0.866,0.00215922237
0.867,0.0024058438319999997
0.868,0.0026421538379999996
0.869,0.002867560176
0.87,0.0030843620219999997
0.871,0.003286811436
0.872,0.003480673776
0.873,0.0036596263079999997
0.874,0.003828249966
0.875,0.0039899935139999995
0.876,0.004132803696
0.877,0.004265859798
0.878,0.00438515568
0.879,0.004490691342
0.88,0.004584748541999999
0.881,0.004667344698
0.882,0.0047327318699999996
0.883,0.0047906641379999995
0.884,0.004831944798
0.885,0.004857758274
0.886,0.00487381767
0.887,0.004871535912
0.888,0.004859482656
0.889,0.004832519592000001
0.89,0.004791796308000001
0.891,0.004735031046
0.892,0.004648986126
0.893,0.004546899228
0.894,0.004441363566000001
0.895,0.0043616413800000005
0.896,0.004179832295999999
0.897,0.003992275272
0.898,0.003809891394
0.899,0.003610298532
0.9,0.003399802002
0.901,0.003168665142
0.902,0.002944408392
0.903,0.0026828771219999997
0.904,0.002420178846
0.905,0.00213971421
0.906,0.001849512912
0.907,0.001561018578
0.908,0.0012616205759999998
0.909,0.000962222574
0.91,0.00066284199
0.911,0.000364593576
