Time (s),Temperature (K)
0.203,1668.7154714696612
0.204,1668.6466825759717
0.205,1668.6263910823754
0.206,1668.747170126438
0.207,1668.9785018327843
0.208,1669.2757869854472
0.209,1669.709930069198
0.21,1669.649039205572
0.211,1669.58503859432
0.212,1669.636374486899
0.213,1669.6043733582292
0.214,1669.3537042810713
0.215,1669.2894402973347
0.216,1669.2361568145866
0.217,1669.1956853403576
0.218,1668.8494075063227
0.219,1668.56883766669
0.22,1668.2646093632789
0.221,1668.4358991805457
0.222,1668.7006757152744
0.223,1669.283506419144
0.224,1669.5286091702928
0.225,1669.3878388147427
0.226,1669.376634080484
0.227,1669.2173677023625
0.228,1669.0015573701194
0.229,1668.9013853632437
0.23,1668.7607819915775
0.231,1668.7728056469255
0.232,1669.0270378135524
0.233,1668.956308783841
0.234,1668.8803905825825
0.235,1668.7770930802026
0.236,1668.7552282538359
0.237,1668.938084326011
0.238,1669.017078569118
0.239,1669.1080339624327
0.24,1669.108678812804
0.241,1669.1046553612614
0.242,1669.0977748592309
0.243,1669.1050458494929
0.244,1669.065913716508
0.245,1669.1796902742167
0.246,1669.1596302776834
0.247,1669.2711685591667
0.248,1669.2966392044495
0.249,1669.364631158122
0.25,1669.4748686576472
0.251,1669.4048419853466
0.252,1669.4067457295519
0.253,1669.3419600047014
0.254,1669.2378858371453
0.255,1669.30090220175
0.256,1669.2473993649528
0.257,1669.392522703457
0.258,1669.792816611147
0.259,1669.661062333937
0.26,1669.9233828427527
0.261,1670.0223704226714
0.262,1670.1853647024745
0.263,1670.4154242085651
0.264,1670.3807640427972
0.265,1670.182728342435
0.266,1669.4108553083533
0.267,1669.098304973851
0.268,1668.6612985472893
0.269,1668.331516233125
0.27,1667.8521725880769
0.271,1667.7478780216275
0.272,1667.7476861383143
0.273,1668.0350798680147
0.274,1668.1545241671292
0.275,1668.2515087893257
0.276,1668.2363582335379
0.277,1668.2890323468791
0.278,1668.5477569459076
0.279,1668.8467755407082
0.28,1668.7122537374034
0.281,1668.6181410295808
0.282,1668.2838792662064
0.283,1668.0917261794007
0.284,1668.0281902117072
0.285,1668.0265677207499
0.286,1667.9964309393563
0.287,1668.1195536331256
0.288,1668.1290871544225
0.289,1668.067249230614
0.29,1668.0161039338427
0.291,1668.0258634241732
0.292,1668.0497408912747
0.293,1668.0339344936133
0.294,1668.107667581458
0.295,1668.090828929283
0.296,1668.0763769627579
0.297,1668.202956201365
0.298,1668.2984375368328
0.299,1668.4223022046322
0.3,1668.364724286348
0.301,1668.417722484463
0.302,1668.4928052534133
0.303,1668.6185597289755
0.304,1668.6946464356888
0.305,1668.7555032414116
0.306,1668.7253512778366
0.307,1668.5511444098124
0.308,1668.1948312836294
0.309,1667.6588930587504
0.31,1667.6382457012346
0.311,1667.6742042997284
0.312,1668.077142468746
0.313,1668.2432356529584
0.314,1668.3376415327866
0.315,1668.1782000931294
0.316,1668.027583810378
0.317,1668.0799317554893
0.318,1668.396137315457
0.319,1668.5398349356092
0.32,1668.842187829227
0.321,1668.9684369206352
0.322,1668.8122155864626
0.323,1668.3327712780983
0.324,1667.7537220629015
0.325,1667.895866774949
0.326,1668.2365879882036
0.327,1668.7095719347158
0.328,1669.2260640915306
0.329,1669.1626807370917
0.33,1669.2528761105464
0.331,1669.1802196555013
0.332,1668.7942667933053
0.333,1668.8398623019416
0.334,1668.9400305049694
0.335,1668.8635601519063
0.336,1668.833854656169
0.337,1668.6618979672462
0.338,1668.5535861276198
0.339,1668.4188734409786
0.34,1668.4546722176324
0.341,1668.5350292665798
0.342,1668.5991110636983
0.343,1668.5302035946434
0.344,1668.5019831260806
0.345,1668.5149518132293
0.346,1668.1302305813542
0.347,1668.2301751081345
0.348,1668.193637977049
0.349,1668.0668224741949
0.35,1667.9643786434826
0.351,1668.0467688636832
0.352,1668.1435111300843
0.353,1668.2580462026258
0.354,1668.4686350088605
0.355,1668.4405440423448
0.356,1668.4346168126208
0.357,1668.1316330078066
0.358,1667.7636191751326
0.359,1667.818563352639
0.36,1667.6285310310723
0.361,1667.7397295664919
0.362,1667.5218598932324
0.363,1667.3585109136716
0.364,1667.1225785506604
0.365,1666.9905951646165
0.366,1667.3212643806723
0.367,1667.5125797216479
0.368,1667.9128512566972
0.369,1668.104175258899
0.37,1668.4563974533244
0.371,1668.3262332785353
0.372,1668.0496494254994
0.373,1667.4767738052974
0.374,1667.3290367860586
0.375,1667.2334664488899
0.376,1667.296018589071
0.377,1667.189354643353
0.378,1667.1215438920517
0.379,1666.987239827171
0.38,1667.1019204150666
0.381,1667.2145493879493
0.382,1667.530847834451
